id,timestamp,feeTier,poolId,token0,token1,tickLower,tickUpper
"0x10d287d69158ec3d921eac170804aeca7abc80325631f9a63eaea98ca8fbe3fa","1731279815","10000","0xb02045ad2ca16e8f4675088140e369260bb280c8","KAS","WETH","129400","131800"
"0x1f7980e31d1ce7bc1c9a1bfe98edb62dc63fb25c0a8c61cd818a6c7d2bb76de0","1731279671","3000","0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8","USDC","WETH","195360","195660"
"0x1fd4abb7f1970a9c40611f5a96cdfd74ebe68fc4c098f0b35228da03e339c2e1","1731279647","3000","0xfa45c879fd120d6cc493113ae212a853531f3d91","WETH","NEIRO","-106680","-102540"
"0x5cc555a84ef073c10824a4b3f3cc753ac148fe382475172b23f8078470c3b5e6","1731279887","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63840","-63780"
"0x0f3d943661f3c1c63d97de106574fd1fb532eb6478d33763d63a5d237fdf9738","1731280079","10000","0xba2a013b29631d3277bbbce80c970d06c1bda0c3","RIO","WETH","-85400","-60400"
"0x002bd5476364f4d941cd42dcfb45539d2138df01bf0e14f5692b727166cc0889","1731280403","10000","0xb5bc2a4acb16cb18bfc5f6c74f6b605ece8686e3","MAO","WETH","-195200","-194800"
"0x0847fb0d5d353ebd7f55e4ab278630ab6b71691d9fb4262b0a221ef73071efe3","1731280499","100","0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b","WETH","USDT","-197312","-194162"
"0x360e4cde3e248c4c230686136bac812e63412d9a8717073f261fdda74e7586d7","1731280499","10000","0x60b0dad2d7d65b7d6efc0b746687020ccef0a233","DOGE","WETH","-105200","-91200"
"0x122b36d5647221d2905a932729f871e3b4c7e77902bbcaa9212af334848060c0","1731280607","10000","0x4a94569b3dddb7f0248255664608b43298ed32ea","WETH","KIRU","200200","218800"
"0x1deb14ec5405e37da154803ad706230ee4b196a609a04ff3ab7cfea89ffdeb55","1731280931","10000","0x7b3ed3a3444144ff526554d5f4aa463d1759f51a","WETH","AXGT","91400","98600"
"0x207c2d091fa5c538b0eb14d0852a32d56468e2c5bc519798e5cbbe79958a1775","1731280811","10000","0x4d5777361d724af6460883399eb8f48e5b83424a","WETH","SBR","-127600","-116600"
"0x4894439650e750c545c29c1cda3a20b5a99df9b41e2e8e43173e8a8deda7eafe","1731280871","10000","0x66bea722346efc72a5a2fc3d35abd7915547fea0","DRAGONX","WETH","-194000","-189600"
"0x5cf6e40df4170183b5a8b8df22f2e6a80c72ae517b8401d257103dad51dff4fb","1731281639","100","0x3416cf6c708da44db2624d63ea0aaef7113527c6","USDC","USDT","-15","0"
"0x003c61003038b0b47c2ae1ceee1f36f63ec5f563203253f6ffd34ed5d3fbddc4","1731281795","10000","0x3e5db8104614082dcf2b6c9a6249ee916a98fb92","LAI","WETH","-123800","-118200"
"0x0d1829c77dee26e531841956f4f84bef763213cf999e73ccc11bcb63e002a5c0","1731281891","3000","0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb","AAVE","WETH","-28260","-28200"
"0x27997d4d3e96fb2cf2c4bfe9e1fd364ee1c4349a383b97499b225156408f9ae1","1731281975","10000","0x4a94569b3dddb7f0248255664608b43298ed32ea","WETH","KIRU","200800","232400"
"0x431502e87fba7b9d5385085eeb032ae1c155930c516f9fd88edd288fe2539de2","1731281867","3000","0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3","WETH","SPX","-157920","-144060"
"0x49b6fd3247575e39cc0c38a88c8e36f2aea0283c450d28be2a41a4e14077cf58","1731281795","3000","0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec","SHIB","WETH","-186000","-185940"
"0x49b6fd3247575e39cc0c38a88c8e36f2aea0283c450d28be2a41a4e14077cf58","1731281795","3000","0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec","SHIB","WETH","-185940","-185880"
"0x0b341d398849a76491c6b2cf5997b259dab9843ca2d114bada8da920f57eea8a","1731282671","100","0xbe80225f09645f172b079394312220637c440a63","ezETH","WETH","245","271"
"0x0b341d398849a76491c6b2cf5997b259dab9843ca2d114bada8da920f57eea8a","1731282671","100","0xbe80225f09645f172b079394312220637c440a63","ezETH","WETH","236","237"
"0x549309c557408e9ad7911ab5013292ee3e523329a214272b6b4dc7e138ce4920","1731282827","3000","0xc3db44adc1fcdfd5671f555236eae49f4a8eea18","ENA","WETH","-86580","-86520"
"0x56aef7394b765e6c8e5b9440713744d02bb1eeee5a540ecf2903b1487e9f7dce","1731282959","100","0x553e9c493678d8606d6a5ba284643db2110df823","rETH","WETH","1051","1052"
"0x54ff7ca1100850c2552eddd67293fbbcc1a78e649ccd92fbe508b5b21ee79ffc","1731283307","3000","0x4548280ac92507c9092a511c7396cbea78fa9e49","USDC","cbBTC","-66840","-66360"
"0x40f318ea0080028e743248361569fd9d099d4ec97360eef424d2cdcd825dbd5e","1731283799","3000","0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec","SHIB","WETH","-186300","-186120"
"0x4816601ec4d87e2de60d56ddc4f2fb53697014a5e91c21455ebdb81931af9591","1731283799","10000","0x120ffad35bb97a5baf9ab68f9dd7667864530245","APU","WETH","-150200","-149200"
"0x0044404b43763096e9746d00032da0ea024b27067b7445758e9cd775eea529bb","1731284279","100","0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b","WETH","USDT","-195611","-195610"
"0x22dd29d483cbd8b703df6f55b993acccf4003beacdc9f7a134cd9831a2602d98","1731284171","500","0x9a772018fbd77fcd2d25657e5c547baff3fd7d16","WBTC","USDC","66900","66910"
"0x47b9b7257086a9a838ff9b8606082586e1aa33f46482625fe61aee81e62ed0e6","1731284123","10000","0x5121f6d8954fc6086649b826026739881a8f80c2","RFD","N","-887200","887200"
"0x08bed8cccf11029fc41ddcf36c25b6f680b1eaa5586636344ae243fb99a6dc34","1731284435","3000","0xcbcdf9626bc03e24f779434178a73a0b4bad62ed","WBTC","WETH","261360","263700"
"0x10c5f5bb5d5decf6da89c20f9e5c9ca0c117256395daa88ec51d30b4b4e791dd","1731284627","10000","0x414b921124fef91c812a51300dc3a39abafbf899","pepecoin","GME","-887200","887200"
"0x119f76d55d271e0123e642c788280003c54100ead37a7c3f7610a49c539d1101","1731285059","10000","0x9f41a3ac0c16a9feb5400751a34c609211839cfa","MPL","WETH","-51400","-44600"
"0x3ae21504e3350ee67f9cc891d32af3236041e5d0fd4a1498e3a3183b1df71c56","1731285059","10000","0xb5bc2a4acb16cb18bfc5f6c74f6b605ece8686e3","MAO","WETH","-201400","-187600"
"0x2b2369b1a10eee278303e0a05f290e05f4bc53be12ef7849a1936937425ee9ef","1731285551","10000","0x8d132e304d697dbec65fc41fdab9cf6404e0dd1c","WETH","HOP","118200","119800"
"0x4bde39f6d8fea3c2014a21f8a1e298b2147dfaf53068d0d54653d91c3d5c2270","1731285587","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","194960","196230"
"0x0f7a6957bdd85ebe552d2518ca49bbfd5b914ae696ca7dbbc317a5892c47044f","1731285827","3000","0x99ac8ca7087fa4a2a1fb6357269965a2014abc35","WBTC","USDC","66660","67260"
"0x0fd330b4887128900af7dae628b77aa2d22bdcb7fa25f455d3b9bb9c4edca42d","1731285983","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","194950","196060"
"0x22761a346836cdc6f5ee8992304d7786ac305f9b0f87c3033d5bd65e1e76b987","1731286187","10000","0xe936f0073549ad8b1fa53583600d629ba9375161","RNDR","WETH","-64600","-62400"
"0x44298c1459c9fdb52e893a1cc64170b0c220e94756745b1f673b2c004b4c6970","1731285995","10000","0xba2a013b29631d3277bbbce80c970d06c1bda0c3","RIO","WETH","-82400","-82200"
"0x458f82d1515fa9ec2b270d489fb2512b50ee3f9d0d97071fa71fa99b7a01a2be","1731286067","10000","0xb003df4b243f938132e8cadbeb237abc5a889fb4","WETH","EUL","64800","65600"
"0x458f82d1515fa9ec2b270d489fb2512b50ee3f9d0d97071fa71fa99b7a01a2be","1731286067","10000","0xb003df4b243f938132e8cadbeb237abc5a889fb4","WETH","EUL","64000","64800"
"0x5e9331a2fa4929b8f6e9142926c21215d854c9a482de8e665aa34591291d06ed","1731286115","500","0xe744f5e2edfdcb9fdb43b288ecb8b21c8487e888","WETH","DOGEGF","308930","309170"
"0x0c22fffb2c97cd0e01973c6df52705f1f0a666908d1b1b60f29cf1c4258128ed","1731286259","10000","0x9f41a3ac0c16a9feb5400751a34c609211839cfa","MPL","WETH","-50000","-41400"
"0x28612cc0affb1bee92ff88f36fa87d059acedb51f0111ad00b8643441bee8445","1731286295","10000","0x49727bbe3ba46aeb1058749ed2741a42fd1ccda8","OX","WETH","-127400","-123400"
"0x65f3b1abdc0454a4b074dc848ecbb104e35f8b383527aca0d86e2b1f5e6df43d","1731286211","10000","0x9f41a3ac0c16a9feb5400751a34c609211839cfa","MPL","WETH","-48000","-41800"
"0x0c0f7659859a7ada9dd4787d80e62f6ae0f78e0d2c6f8a9b5c9b274f92d5d41f","1731286607","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","194890","196070"
"0x3c27a1aa6a2eef55e416f1023a1c622a822f5dc15c2974a68eb7ca3e84ee7388","1731286763","10000","0x214cad3f7fbbe66919968fa3a1b16e84cfcd457f","DRAGONX","VYPER","-887200","887200"
"0x5479bae119e4057da989e5ead6f2bccb4de8a960cf80bcc2f9c5f7e2854a9676","1731286727","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","194890","196070"
"0x56d4303f27e32a4f5fba8154105b039c88beae8fa261320a96a21407baaa936a","1731286571","3000","0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3","WETH","SPX","-150000","-145920"
"0x5c918fbff3b3a11b55e8e67b7c6c85947ddd0e41e483322b39f3fc85d5bc292d","1731286763","3000","0xfa45c879fd120d6cc493113ae212a853531f3d91","WETH","NEIRO","-106920","-102360"
"0x4559179ecd64eed21744c716d9751c8554da1ef11fd9f6456017e7862289bbaf","1731286895","10000","0x3f1a36b6c946e406f4295a89ff06a5c7d62f2fe2","VOLT","TITANX","107000","107600"
"0x0574d565c7328897b2d9e4754b088864fefd464178f06529478a1e93824ff42c","1731287663","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","193380","197880"
"0x08dcab10ea079091d73d6bbda738a4b4f49c5d5b93daf6945031c611dd36bc71","1731287411","10000","0xb5bc2a4acb16cb18bfc5f6c74f6b605ece8686e3","MAO","WETH","-194800","-194600"
"0x1711fdcb04513e64828193a87498404f20bdf1e3d1634a5acd3fb4d00c85841d","1731287651","10000","0x66bea722346efc72a5a2fc3d35abd7915547fea0","DRAGONX","WETH","-193600","-192600"
"0x2771bcd18be21920201b71dcddcc3026ca41d9c23ca3146601ad8c2862412fd1","1731287639","3000","0x11950d141ecb863f01007add7d1a342041227b58","PEPE","WETH","-193980","-193380"
"0x458b8e3b5261c2c8fcd134be5db028899bb66882d1a7e04f0648171da769eedf","1731287987","100","0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b","WETH","USDT","-199359","-188698"
"0x48954d1b6043aeccdee17c23514875c2bccd822b89d08b4e450d293de1ff3ec0","1731287975","500","0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640","USDC","WETH","195620","195630"
"0x2244be683937b5d605ed508f8da7daa5f1544eaebbde24d906d12a9961c3cd05","1731288155","10000","0x95a45a87dd4d3a1803039072f37e075f37b23d75","VIRTUAL","WETH","-94200","-87000"
"0x48afd6d086dfd7baeae9dcf7e0e8b482fc44e766b35de7ad69c2917228bc63e5","1731288251","3000","0x7b1e5d984a43ee732de195628d20d05cfabc3cc7","WETH","ONDO","78240","82200"
"0x0b358f6c248555d86edb2e511c309181bcec6d8ad7e2e9ee7e0d0fd0572c96c7","1731288623","10000","0xb5bc2a4acb16cb18bfc5f6c74f6b605ece8686e3","MAO","WETH","-199000","-192800"
"0x22c4d422f7e802a78bd63aaaf30bf59b1df20527982d0a27c75aa02f68f3f592","1731288779","10000","0xe9491d11491cb2d78c535c45983ca327e0428b4b","BRETT","WETH","102200","105000"
"0x20cc5cae2d72c6f3d64f15ef0c52fbb86dcf2249b94588a925cc322b1c37f5e3","1731289079","10000","0xb5bc2a4acb16cb18bfc5f6c74f6b605ece8686e3","MAO","WETH","-196400","-196200"
"0x515b5eedff7612d80e351b17f8cdde614f3070b2b05521c4dfd2b7bb2ef37cf3","1731289007","10000","0x7f808fd904ffa3eb6a6f259e6965fb1466a05372","DXN","WETH","-83600","-83400"
"0x0fd2371ad2c208fcc4092e2d362b3edc3e42a68b4ac5f1457a30d17e3fff78ec","1731289403","10000","0xe9491d11491cb2d78c535c45983ca327e0428b4b","BRETT","WETH","80200","94200"
